Flight,Time,Length,Airline,AirportFrom,AirportTo,DayOfWeek,Class
320.0,870.0,180.0,,IAH,PHX,5,0
3045.0,365.0,66.0,OO,DSM,MKE,2,0
1560.0,740.0,257.0,DL,SEA,CVG,7,0
1156.0,595.0,235.0,WN,SNA,MDW,7,1
1873.0,530.0,133.0,CO,IAH,MCO,6,1
3641.0,1045.0,160.0,MQ,MIA,CMH,1,0
138.0,1160.0,185.0,WN,BDL,MCO,7,0
586.0,700.0,142.0,AS,PDX,SNA,2,1
5220.0,895.0,102.0,EV,AEX,ATL,2,0
5122.0,516.0,137.0,EV,DTW,MCI,7,0
1663.0,1210.0,121.0,US,CLT,STL,6,1
1800.0,1050.0,177.0,CO,FLL,EWR,3,1
3022.0,1175.0,76.0,XE,IAH,GPT,1,0
2062.0,1175.0,74.0,XE,IAH,LRD,3,0
315.0,482.0,134.0,UA,DFW,DEN,4,0
386.0,535.0,120.0,AA,ORD,LGA,7,1
1053.0,991.0,96.0,DL,ATL,ORF,3,0
3959.0,635.0,110.0,MQ,LIT,ORD,5,0
147.0,693.0,123.0,FL,DTW,ATL,2,0
3894.0,435.0,125.0,9E,TUL,MSP,3,1
2430.0,530.0,100.0,DL,BNA,DTW,5,1
2959.0,1170.0,96.0,DL,MSP,STL,7,1
71.0,675.0,190.0,US,PHX,SEA,4,1
1846.0,915.0,130.0,WN,ONT,DEN,7,0
113.0,376.0,35.0,HA,HNL,LIH,4,0
3659.0,1185.0,125.0,MQ,MIA,GSO,5,0
3923.0,360.0,98.0,9E,IAH,MEM,1,0
2612.0,910.0,160.0,WN,MDW,DEN,6,1
418.0,585.0,95.0,WN,RNO,PDX,2,1
5921.0,835.0,78.0,XE,DTW,ORD,2,1
1066.0,615.0,100.0,AA,DFW,BNA,5,1
256.0,1175.0,145.0,UA,DEN,ORD,2,1
1971.0,1195.0,,WN,MSY,HOU,5,1
6332.0,565.0,,OH,CVG,JAX,3,0
826.0,960.0,65.0,WN,PDX,BOI,5,0
824.0,1085.0,90.0,WN,SAN,SFO,7,1
1459.0,995.0,,AA,LGA,MIA,5,0
2402.0,1068.0,187.0,DL,MIA,DTW,7,1
2649.0,515.0,64.0,YV,LAX,LAS,6,1
367.0,360.0,85.0,WN,MDW,BNA,3,0
2864.0,355.0,90.0,MQ,SGF,DFW,4,0
1700.0,525.0,,DL,ATL,BOS,5,0
2287.0,595.0,75.0,AA,TUL,DFW,7,0
4952.0,819.0,176.0,EV,ELP,ATL,5,1
478.0,435.0,115.0,UA,SFO,PDX,1,0
156.0,454.0,37.0,HA,HNL,OGG,2,0
5177.0,855.0,48.0,EV,ATL,CHA,4,0
526.0,600.0,70.0,WN,SAN,PHX,1,1
1037.0,675.0,70.0,WN,OMA,STL,6,1
250.0,470.0,155.0,WN,MCO,STL,3,1
810.0,790.0,210.0,CO,IAH,EWR,5,1
2214.0,675.0,195.0,DL,SEA,MSP,7,1
6952.0,558.0,159.0,OO,DEN,SBA,6,0
3210.0,520.0,70.0,MQ,HOU,DFW,3,1
2998.0,785.0,90.0,XE,IAH,MEM,2,0
2587.0,959.0,,DL,RSW,DTW,1,0
511.0,1080.0,170.0,AS,SNA,SEA,7,1
6572.0,1132.0,48.0,OO,ASE,DEN,4,0
1589.0,890.0,210.0,CO,IAH,SAN,2,1
903.0,445.0,225.0,WN,OAK,HOU,3,1
133.0,593.0,117.0,UA,LAS,DEN,5,1
1704.0,1265.0,81.0,CO,IAH,OKC,3,0
1475.0,800.0,190.0,AA,DFW,LAS,5,0
5237.0,875.0,109.0,EV,BOS,DCA,6,0
4975.0,575.0,103.0,EV,CVG,ATL,2,0
4398.0,735.0,67.0,9E,ATL,BNA,5,0
2863.0,878.0,91.0,XE,MOB,IAH,7,0
1764.0,1077.0,,US,CLT,DCA,4,0
2810.0,995.0,158.0,DL,FLL,MEM,1,0
1710.0,1090.0,175.0,WN,PHX,STL,1,1
1963.0,720.0,,DL,DCA,MSP,7,1
742.0,1225.0,120.0,WN,DEN,STL,3,1
4658.0,735.0,155.0,MQ,LGA,ATL,7,0
1041.0,425.0,190.0,AA,BOS,ORD,7,1
5261.0,570.0,70.0,,MEM,XNA,2,1
969.0,955.0,125.0,WN,BWI,MDW,4,1
6915.0,825.0,,OO,ORD,LIT,4,1
1494.0,660.0,155.0,AA,DFW,FLL,5,1
1716.0,840.0,165.0,AA,DFW,BWI,2,0
1137.0,515.0,158.0,,FLL,MDT,5,0
3615.0,520.0,170.0,MQ,MIA,CLE,1,1
1622.0,740.0,220.0,AA,PDX,DFW,1,1
3832.0,490.0,70.0,WN,BWI,BDL,1,0
1752.0,1315.0,108.0,DL,ATL,IAD,5,0
5280.0,1010.0,66.0,EV,XNA,MEM,4,0
2332.0,470.0,117.0,DL,PBI,ATL,2,0
5998.0,720.0,133.0,XE,ORD,OKC,5,1
870.0,850.0,372.0,AS,ANC,HNL,5,0
6364.0,385.0,47.0,OO,SBA,LAX,4,0
2166.0,600.0,80.0,US,DCA,LGA,5,1
896.0,787.0,119.0,UA,ORD,IAD,4,0
5110.0,1100.0,79.0,EV,MOB,ATL,5,0
2955.0,590.0,280.0,WN,FLL,DEN,6,1
2788.0,435.0,73.0,DL,MSP,MKE,5,1
4340.0,725.0,110.0,9E,TPA,RDU,2,0
4111.0,1200.0,115.0,MQ,ORD,CLT,3,0
949.0,1015.0,65.0,AA,MCO,MIA,1,1
1587.0,1139.0,148.0,DL,ATL,MCI,5,0
1698.0,1326.0,108.0,US,CLT,PVD,2,0
1396.0,1210.0,85.0,WN,OAK,LAS,1,1
288.0,,90.0,WN,MDW,MCI,1,1
1972.0,725.0,113.0,US,RSW,CLT,3,0
5597.0,507.0,,EV,AGS,ATL,6,1
2499.0,819.0,133.0,XE,IAH,ABQ,3,1
319.0,600.0,170.0,AA,LGA,ORD,1,0
1281.0,420.0,160.0,DL,MIA,MEM,1,0
6746.0,360.0,47.0,OO,PSP,LAX,5,0
6534.0,686.0,100.0,OO,DEN,IDA,2,0
2352.0,770.0,190.0,WN,SAN,MCI,4,1
683.0,435.0,263.0,CO,BOS,IAH,3,1
801.0,935.0,,WN,BOS,DEN,6,1
502.0,390.0,159.0,AS,SEA,SNA,2,0
2449.0,435.0,255.0,DL,BNA,SLC,2,1
2553.0,430.0,90.0,WN,SAN,RNO,5,0
1352.0,535.0,,AA,DFW,OKC,1,0
6726.0,,105.0,OH,CLT,CVG,2,0
547.0,611.0,241.0,UA,ORD,LAS,5,0
2725.0,560.0,182.0,XE,CLE,DFW,3,0
1920.0,460.0,80.0,AA,LAX,SFO,6,0
7329.0,782.0,68.0,EV,TYS,ATL,7,0
197.0,1200.0,,HA,OGG,HNL,3,0
590.0,790.0,90.0,WN,LAS,OAK,1,0
206.0,885.0,,WN,OAK,SAN,2,1
4230.0,630.0,85.0,9E,DTW,BGM,3,1
127.0,655.0,67.0,US,PHX,LAS,4,1
1979.0,684.0,111.0,DL,SLC,SMF,5,1
650.0,,154.0,AS,PDX,PHX,3,1
5286.0,415.0,108.0,EV,LIT,ATL,5,1
936.0,1145.0,115.0,WN,ELP,LAS,5,1
1278.0,1100.0,,US,MCO,DCA,7,1
2895.0,1206.0,107.0,YV,DRO,PHX,5,1
732.0,1135.0,193.0,CO,IAH,LGA,3,1
2411.0,,,XE,CLE,ATL,4,1
2543.0,730.0,124.0,XE,SAV,EWR,6,0
6312.0,915.0,70.0,OH,CVG,PIT,7,0
2559.0,565.0,53.0,XE,IAH,LFT,6,0
2821.0,,150.0,WN,PHX,HOU,2,1
702.0,,120.0,WN,STL,MSY,3,0
7293.0,737.0,81.0,YV,IAD,LGA,7,1
2868.0,995.0,,,MLI,DFW,3,1
1765.0,,230.0,AA,IAD,SJU,4,1
7131.0,562.0,121.0,EV,ORD,ORF,4,0
2253.0,570.0,190.0,AA,ORD,JAC,1,0
6662.0,1058.0,,OO,MRY,SFO,6,1
1021.0,1230.0,75.0,B6,BOS,JFK,7,1
2165.0,,72.0,XE,BRO,IAH,5,1
2088.0,660.0,180.0,AA,MIA,LGA,4,0
348.0,1036.0,131.0,FL,SRQ,BWI,3,0
945.0,716.0,274.0,UA,ORD,LAX,5,0
144.0,1325.0,114.0,FL,ATL,DTW,4,0
2459.0,1129.0,153.0,DL,ATL,OMA,4,1
5264.0,869.0,91.0,EV,FAY,ATL,2,1
2114.0,945.0,142.0,XE,ORD,EWR,7,0
1098.0,715.0,155.0,WN,MCO,BUF,4,1
277.0,945.0,,AA,MIA,LAX,6,1
5186.0,1020.0,63.0,EV,HSV,MEM,3,0
6737.0,1290.0,,OO,DEN,FAT,2,0
1023.0,590.0,174.0,US,PHL,TPA,3,0
1592.0,715.0,,WN,BUF,FLL,1,1
3098.0,625.0,90.0,XE,GSO,EWR,1,0
327.0,886.0,192.0,B6,BDL,FLL,3,1
6972.0,549.0,52.0,OO,BFL,LAX,7,1
1233.0,510.0,110.0,DL,ATL,MSY,1,0
7071.0,,98.0,EV,ORD,SYR,1,0
2050.0,775.0,70.0,WN,DAL,MAF,6,1
234.0,385.0,107.0,FL,RIC,ATL,2,0
1823.0,900.0,60.0,WN,STL,MDW,6,1
7071.0,566.0,,EV,CAE,IAD,3,0
4531.0,1200.0,115.0,MQ,DCA,BNA,7,0
1905.0,845.0,161.0,DL,DTW,MCO,4,1
273.0,520.0,180.0,FL,BOS,ATL,5,0
1461.0,685.0,175.0,DL,RSW,DTW,2,1
1646.0,625.0,144.0,CO,IAH,ORD,6,1
6892.0,1078.0,153.0,OO,SEA,LAX,7,1
321.0,575.0,125.0,AS,SJC,SEA,7,1
2261.0,975.0,115.0,DL,RDU,DTW,3,0
555.0,1130.0,195.0,B6,EWR,RSW,6,0
6357.0,1305.0,46.0,OO,DEN,EGE,7,1
2922.0,1050.0,95.0,MQ,BRO,DFW,7,0
6743.0,1033.0,130.0,OO,SNA,DEN,4,1
3992.0,480.0,85.0,9E,LEX,MEM,5,0
1583.0,405.0,113.0,US,PHL,CLT,3,1
31.0,840.0,60.0,WN,DAL,HOU,4,0
2348.0,480.0,67.0,DL,BHM,ATL,5,0
1425.0,,265.0,AA,ORD,SNA,5,1
4215.0,930.0,105.0,MQ,BNA,ORD,4,1
1543.0,1045.0,65.0,WN,BWI,BDL,6,1
4774.0,515.0,108.0,OO,ABQ,SLC,3,0
3372.0,360.0,90.0,MQ,BTR,DFW,1,0
1406.0,540.0,95.0,,DFW,HSV,4,0
1006.0,660.0,127.0,CO,IAH,TPA,1,1
372.0,585.0,165.0,B6,FLL,LGA,3,0
4086.0,975.0,95.0,9E,ATW,DTW,3,0
1862.0,1065.0,,WN,PVD,MCO,1,0
374.0,697.0,186.0,CO,SAN,IAH,2,1
1213.0,,,DL,ROC,ATL,7,0
720.0,,123.0,US,MIA,CLT,4,0
5516.0,810.0,130.0,EV,ATL,TUL,7,1
218.0,1090.0,80.0,WN,MAF,HOU,4,1
2719.0,505.0,167.0,YV,AUS,PHX,5,0
3094.0,852.0,80.0,OO,MKE,OMA,2,0
4398.0,1070.0,83.0,9E,TYS,MEM,6,1
386.0,535.0,,,ORD,LGA,2,0
2730.0,1020.0,,XE,DCA,EWR,4,1
719.0,1095.0,93.0,US,PHL,BOS,3,1
1376.0,970.0,200.0,,MIA,DFW,4,0
5227.0,1140.0,70.0,EV,ATL,ECP,1,1
2866.0,645.0,170.0,XE,MKE,IAH,6,0
3931.0,388.0,,9E,MBS,MSP,1,0
2825.0,1095.0,157.0,XE,EWR,BNA,3,0
1980.0,930.0,65.0,WN,LAX,SJC,1,0
927.0,1168.0,264.0,UA,STL,SFO,2,0
2375.0,505.0,,,ORD,EGE,2,0
2941.0,935.0,100.0,,DFW,PNS,6,0
642.0,625.0,128.0,FL,ATL,MKE,4,1
1406.0,540.0,95.0,AA,DFW,HSV,7,0
4664.0,535.0,95.0,MQ,CLE,LGA,5,0
4022.0,980.0,90.0,9E,ECP,MEM,3,0
3048.0,1240.0,,MQ,LAX,SAN,1,0
610.0,755.0,148.0,AS,SEA,LAS,4,1
41.0,420.0,78.0,AS,ANC,BET,1,0
4584.0,1185.0,130.0,MQ,LGA,CLT,7,1
7346.0,1070.0,60.0,EV,ATL,GSP,5,0
326.0,395.0,60.0,WN,LAX,LAS,1,0
575.0,815.0,154.0,,SAN,PDX,1,1
2293.0,750.0,155.0,WN,LAS,TUL,7,1
380.0,370.0,155.0,,SFO,DEN,3,1
1461.0,605.0,240.0,AA,DFW,SFO,5,1
831.0,380.0,135.0,WN,PHL,MDW,2,0
32.0,360.0,,UA,PDX,DEN,5,0
555.0,1235.0,33.0,HA,OGG,HNL,6,0
517.0,620.0,,FL,ATL,CMH,2,0
1842.0,825.0,,US,PHL,PVD,3,0
2466.0,1130.0,84.0,XE,MAF,IAH,7,0
1503.0,1135.0,180.0,WN,IND,DEN,1,1
1241.0,1070.0,,WN,AUS,DEN,5,0
1260.0,1335.0,160.0,AA,MIA,LGA,7,0
783.0,1060.0,263.0,UA,IAD,ABQ,3,0
339.0,475.0,125.0,,SEA,OAK,4,0
2379.0,870.0,,WN,TPA,STL,3,1
1567.0,1140.0,293.0,DL,ATL,SAN,2,0
6231.0,795.0,36.0,OO,PDX,EUG,4,0
716.0,390.0,165.0,WN,PVD,MDW,4,0
